ID,name,category,main_category,currency,deadline,goal,laudnched,pledged,state,backers,country,pledged,pledged_real,goal_real
1000002330,The Songs of Adelaide & Abullah,0.79,0.3,2,2015-10-09,1000.00,2015-08-11 12:12:28,0.00,0,0,1.1,0.00,0.00,1533.95
1000003930,Greeting From Earth: ZGAC Arts 4.1psule For ET,0.22,0.37,1,2017-11-01,30000.00,2017-09-02 04:43:57,2421.00,0,15,2.1,100.00,2421.00,30000.00
1000004038,Where is Hank?,0.22,0.37,1,2013-02-26,45000.00,2013-01-12 00:20:50,220.00,0,3,2.1,220.00,220.00,45000.00
1000007540,Toshi4.1pital Rekordz Needs Help to Complete Album,0.461,0.46,1,2012-04-16,5000.00,2012-03-17 03:24:11,1.00,0,1,2.1,1.00,1.00,5000.00
1000011046,Community Film Project: The 0.42 of Neighborhood Filmmaking,0.371,0.37,1,2015-08-29,19500.00,2015-07-04 08:35:03,1283.00,0,14,2.1,1283.00,1283.00,19500.00
1000014025,Monarch Espresso Bar,0.63,0.24,1,2016-04-01,50000.00,2016-02-26 13:38:27,52375.00,1,224,2.1,52375.00,52375.00,50000.00
1000023410,Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co,0.41,0.24,1,2014-12-21,1000.00,2014-12-01 18:30:44,1205.00,1,16,2.1,1205.00,1205.00,1000.00
1000030581,Chaser Strips. Our Strips make Shots their B*tch!,0.57,0.24,1,2016-03-17,25000.00,2016-02-01 20:05:12,453.00,0,40,2.1,453.00,453.00,25000.00
1000034518,SPIN - Premium Retractable In-Ear Headphones with Mic,0.28,0.36,1,2014-05-29,125000.00,2014-04-24 18:14:43,8233.00,0,58,2.1,8233.00,8233.00,125000.00
100004195,STUDIO IN THE SKY - A 0.27 Feature Film (0),0.27,0.37,1,2014-08-10,65000.00,2014-07-11 21:55:48,6240.57,0,43,2.1,6240.57,6240.57,65000.00
100004721,Of Jes2.1 and Madmen,0.53,0.3,4,2013-10-09,2500.00,2013-09-09 18:19:37,0.00,0,0,4.1,0.00,0.00,2406.39
100005484,Lisa Lim New CD!,0.1,0.46,1,2013-04-08,12500.00,2013-03-09 06:42:58,12700.00,1,100,2.1,12700.00,12700.00,12500.00
1000055792,The Cottage Market,0.56,0.26,1,2014-10-02,5000.00,2014-09-02 17:11:50,0.00,0,0,2.1,0.00,0.00,5000.00
1000056157,G-Spot Place for Gamers to connect with eachother & go pro!,0.6,0.35,1,2016-03-25,200000.00,2016-02-09 23:01:12,0.00,0,0,2.1,0.00,0.00,200000.00
1000057089,Tombstone: Old West tabletop game and miniatures in 32mm.,0.15,0.35,2,2017-05-03,5000.00,2017-04-05 19:44:18,94175.00,1,761,1.1,57763.78,121857.33,6469.73
1000064368,Survival Rings,0.361,0.36,1,2015-02-28,2500.00,2015-01-29 02:10:53,664.00,0,11,2.1,664.00,664.00,2500.00
1000064918,The Beard,0.14,0.53,1,2014-11-08,1500.00,2014-10-09 22:27:52,395.00,0,16,2.1,395.00,395.00,1500.00
1000068480,5.1tes From London: Above & Below,0.2,0.3,1,2015-05-10,3000.00,2015-04-10 21:20:54,789.00,0,20,2.1,789.00,789.00,3000.00
1000070642,Mike Corey's Darkness & Light Album,0.461,0.46,1,2012-08-17,250.00,2012-08-02 14:11:32,250.00,1,7,2.1,250.00,250.00,250.00
1000071625,Boco Tea,0.41,0.24,1,2012-06-02,5000.00,2012-05-03 17:24:32,1781.00,0,40,2.1,1781.00,1781.00,5000.00
1000072011,CMUK. Shoes: Take on Life Feet First.,0.55,0.25,1,2013-12-30,20000.00,2013-11-25 07:06:11,34268.00,1,624,2.1,34268.00,34268.00,20000.00
1000081649,MikeyJ clothing brand fundraiser,0.79,0.25,6.1,2017-09-07,2500.00,2017-08-08 01:20:20,1.00,0,1,6.1,0.00,0.81,2026.10
1000082254,Alice in Wonderland in G Mi5.1r,0.13,0.59,1,2014-06-15,3500.00,2014-05-16 10:10:38,650.00,0,12,2.1,650.00,650.00,3500.00
1000087442,Mountain brew: A quest for alcohol s2.1tainability,0.57,0.24,5,2015-02-25,500.00,2015-01-26 19:17:33,48.00,0,3,5.1,6.18,6.29,65.55
1000091520,The Book Zoo - A Mini-Comic,0.54,0.53,1,2014-11-12,175.00,2014-10-23 17:15:50,701.66,1,66,2.1,701.66,701.66,175.00
1000102741,Matt 4.1ven6.1gh & Jenny Powers make their 1st album! ,0.461,0.46,1,2011-01-06,10000.00,2010-12-07 23:16:50,15827.00,1,147,2.1,15827.00,15827.00,10000.00
1000103948,Superhero Teddy Bear,0.73,0.26,2,2016-01-05,12000.00,2015-12-06 20:09:06,0.00,0,0,1.1,0.00,0.00,17489.65
1000104688,Permaculture Skills,0.39,0.37,4,2014-12-14,17757.00,2014-11-14 18:02:00,48905.00,1,571,4.1,43203.25,42174.03,15313.04
1000104953,Rebel Army Origins: The Heroic Story Of Major Gripes,0.54,0.53,2,2016-01-28,100.00,2015-12-29 16:59:29,112.38,1,27,1.1,167.70,160.60,142.91
100011318,My Moon - Animated Short Film,0.52,0.37,1,2017-05-03,50000.00,2017-04-03 17:11:33,57577.31,1,840,2.1,10120.00,57577.31,50000.00
1000115172,Daily Brew Coffee,0.41,0.24,2,2015-03-31,3500.00,2015-03-01 18:06:32,21.00,0,1,1.1,32.42,31.09,5181.12
1000117861,Ledr workbook: one tough journal!,0.28,0.36,1,2016-10-08,1000.00,2016-09-07 13:14:26,47266.00,1,549,2.1,11253.00,47266.00,1000.00
1000120151,Feather 4.1st Furled Fly Fishing Leaders,0.28,0.36,6.1,2015-08-22,2000.00,2015-07-23 03:09:43,2000.00,1,18,6.1,1473.62,1427.35,1427.35
1000120287,BB130A,0.41,0.4,1,2013-03-24,25000.00,2013-02-12 01:07:28,1395.00,0,30,2.1,1395.00,1395.00,25000.00
100012079,Chris Eger Band - New Nashville Record!,0.461,0.46,1,2014-08-13,12000.00,2014-07-14 22:35:51,13260.00,1,92,2.1,13260.00,13260.00,12000.00
1000129669,Squatch Watchers,0.39,0.37,1,2013-08-23,10000.00,2013-07-24 21:40:13,1373.37,0,54,2.1,1373.37,1373.37,10000.00
1000131947,Arrows & Sound Debut Album,0.1,0.46,1,2012-05-19,4000.00,2012-04-19 01:04:31,8641.34,1,157,2.1,8641.34,8641.34,4000.00
1000132945,Zen in Ameri4.1: a film on Zen Buddhism in 5.1rth Ameri4.1,0.27,0.37,1,2013-10-21,10000.00,2013-09-21 23:00:54,15663.00,1,213,2.1,15663.00,15663.00,10000.00
1000134913,Galaxy: Winnie and Friends,0.18,0.4,1,2016-01-27,3000.00,2015-12-23 21:47:29,17.00,0,2,2.1,17.00,17.00,3000.00
1000146991,Help Scott Rey5.1lds Make a New Record!,0.1,0.46,1,2012-09-02,15000.00,2012-08-03 18:43:16,17499.99,1,277,2.1,17499.99,17499.99,15000.00
